protein_id,dataset,cluster,set
v2R14S|R16S_2L3X.pdb,tsu,v2R14S|R16S_2L3X.pdb,tsu_train
v2R31S|R32S_2N5D.pdb,tsu,v2R31S|R32S_2N5D.pdb,tsu_test
v2_2HDZ.pdb,tsu,v2_2HDZ.pdb,tsu_train
v2_2LDM.pdb,tsu,v2_2LDM.pdb,tsu_test
v2_2LXE.pdb,tsu,v2_2LXE.pdb,tsu_train
v2_4UZX.pdb,tsu,v2_4UZX.pdb,tsu_train
v2_6IVS.pdb,tsu,v2_6IVS.pdb,tsu_train
3PG0,fp,3PG0,fp_finetune
P0ABQ4,fp,P0ABQ4,fp_finetune
P00648,fp,P00648,fp_test
P61626,fp,P61626,fp_finetune
P81708,fp,P61626,fp_finetune
P00698,fp,P61626,fp_finetune
P00025,fp,P00025,fp_finetune
P00044,fp,P00025,fp_finetune
P00004,fp,P00025,fp_finetune
P00045,fp,P00025,fp_finetune
P00974,fp,P00974,fp_finetune
P03050,fp,P03050,fp_finetune
P01053,fp,P01053,fp_test
P00651,fp,P00651,fp_test
P02633,fp,P02633,fp_test
P0AA25,fp,P0AA25,fp_finetune
P01308,fp,P01308,fp_test
P11540,fp,P11540,fp_finetune
P07107,fp,P07107,fp_finetune
P05413,fp,P05413,fp_finetune
P00094,fp,P00094,fp_finetune
P05798,fp,P05798,fp_finetune
P08463,fp,P08463,fp_finetune
P07445,fp,P07445,fp_test
P00282,fp,P00282,fp_finetune
P0A7Y4,fp,P0A7Y4,fp_finetune
P03051,fp,P03051,fp_finetune
P02185,fp,P02185,fp_finetune
P00720,fp,P00720,fp_finetune
P61823,fp,P61823,fp_finetune
P0A3H0,fp,P0A3H0,fp_finetune
P00099,fp,P00099,fp_test
P00257,fp,P00257,fp_test
P03706,fp,P03706,fp_finetune
P61024,fp,P61024,fp_finetune
P62942,fp,P62942,fp_finetune
P42771,fp,P42771,fp_finetune
P13479,fp,P13479,fp_finetune
P0A6F9,fp,P0A6F9,fp_finetune
P02417,fp,P02417,fp_finetune
P29160,fp,P29160,fp_finetune
P05230,fp,P05230,fp_finetune
Q13526,fp,Q13526,fp_finetune
P37001,fp,P37001,fp_finetune
P04166,fp,P04166,fp_finetune
P02631,fp,P02631,fp_test
P02625,fp,P02631,fp_test
P0A2D5,fp,P0A2D5,fp_finetune
P0AE67,fp,P0A2D5,fp_finetune
P00818,fp,P00818,fp_finetune
2IMM,fp,2IMM,fp_finetune
P01625,fp,2IMM,fp_finetune
P11053,fp,P11053,fp_finetune
P0A3C7,fp,P11053,fp_finetune
P00593,fp,P00593,fp_finetune
P00173,fp,P00173,fp_finetune
P00171,fp,P00173,fp_finetune
Q03026,fp,Q03026,fp_finetune
P0A3E0,fp,P0A3E0,fp_finetune
1YYX,fp,1YYX,fp_test
P04164,fp,P04164,fp_finetune
P04168,fp,P04168,fp_finetune
P00268,fp,P00268,fp_finetune
P24297,fp,P00268,fp_finetune
P00711,fp,P00711,fp_finetune
P00712,fp,P00711,fp_finetune
P01006,fp,P01006,fp_finetune
P01051,fp,P01051,fp_test
P02693,fp,P02693,fp_finetune
P07320,fp,P07320,fp_finetune
P08877,fp,P08877,fp_test
P0AA04,fp,P0AA04,fp_finetune
P10762,fp,P10762,fp_finetune
P22069,fp,P22069,fp_finetune
P30289,fp,P30289,fp_finetune
P41016,fp,P41016,fp_finetune
1CSQ.pdb_F9S,tsu,P41016,tsu_train
2LXK.pdb_G4A,tsu,P41016,tsu_train
1CSQ.pdb_F49A,tsu,P41016,tsu_train
1MJC.pdb_G17A,tsu,P41016,tsu_train
2LXK.pdb_F15S,tsu,P41016,tsu_train
P32081,fp,P41016,fp_finetune
P0A9X9,fp,P41016,fp_finetune
1MJC.pdb_L43S,tsu,P41016,tsu_train
P42773,fp,P42773,fp_finetune
P69543,fp,P69543,fp_test
